url,Perfume,Brand,Gender,Rating Value,Rating Count,Year,Perfumer1,Top,Middle,Base,accords,notes_combined,score
https://www.fragrantica.com/perfume/dior/dior-homme-intense-2011-13016.html,Dior Homme Intense 2011,Dior,men,4.5,18272,2011,françois demachy,lavender,"iris, ambrette (musk mallow), pear","virginia cedar, vetiver",iris | woody | powdery | earthy | violet,"top: lavender | middle: iris, ambrette (musk mallow), pear | base: virginia cedar, vetiver | accords: iris | woody | powdery | earthy | violet",19.178144343994877
https://www.fragrantica.com/perfume/yves-saint-laurent/la-nuit-de-l-homme-5521.html,La Nuit De L Homme,Yves Saint Laurent,men,4.44,19533,2009,unknown,cardamom,"lavender, virginia cedar, bergamot","vetiver, caraway",aromatic | warm spicy | lavender | woody | fresh spicy,"top: cardamom | middle: lavender, virginia cedar, bergamot | base: vetiver, caraway | accords: aromatic | warm spicy | lavender | woody | fresh spicy",19.051112854219454
https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-le-parfum-61856.html,Le Male Le Parfum,Jean Paul Gaultier,men,4.6,13406,2020,natalie gracia-cetto,cardamom,"lavender, iris","vanilla, oriental notes, woodsy notes",warm spicy | vanilla | lavender | aromatic | powdery,"top: cardamom | middle: lavender, iris | base: vanilla, oriental notes, woodsy notes | accords: warm spicy | vanilla | lavender | aromatic | powdery",18.9857254031481
https://www.fragrantica.com/perfume/creed/aventus-9828.html,Aventus,Creed,men,4.34,19581,2010,erwin creed,"bergamot, black currant, apple, lemon, pink pepper","pineapple, patchouli, moroccan jasmine","birch, musk, oak moss, ambroxan, cedarwood",fruity | sweet | leather | woody | smoky,"top: bergamot, black currant, apple, lemon, pink pepper | middle: pineapple, patchouli, moroccan jasmine | base: birch, musk, oak moss, ambroxan, cedarwood | accords: fruity | sweet | leather | woody | smoky",18.626659580644535
https://www.fragrantica.com/perfume/hermes/terre-d-hermes-17.html,Terre D Hermes,Hermes,men,4.28,21347,2006,jean-claude ellena,"orange, grapefruit","pepper, pelargonium, flint","vetiver, cedar, patchouli, benzoin",citrus | woody | fresh spicy | aromatic | earthy,"top: orange, grapefruit | middle: pepper, pelargonium, flint | base: vetiver, cedar, patchouli, benzoin | accords: citrus | woody | fresh spicy | aromatic | earthy",18.529648790883034
https://www.fragrantica.com/perfume/chanel/coco-mademoiselle-611.html,Coco Mademoiselle,Chanel,women,4.12,29283,2001,jacques polge,"orange, mandarin orange, bergamot, orange blossom","turkish rose, jasmine, mimosa, ylang-ylang","patchouli, white musk, vanilla, vetiver, tonka bean, opoponax",citrus | woody | patchouli | sweet | white floral,"top: orange, mandarin orange, bergamot, orange blossom | middle: turkish rose, jasmine, mimosa, ylang-ylang | base: patchouli, white musk, vanilla, vetiver, tonka bean, opoponax | accords: citrus | woody | patchouli | sweet | white floral",18.40251724050734
https://www.fragrantica.com/perfume/tom-ford/tobacco-vanille-1825.html,Tobacco Vanille,Tom Ford,unisex,4.23,22332,2007,olivier gillotin,"tobacco leaf, spicy notes","vanilla, cacao, tonka bean, tobacco blossom","dried fruits, woody notes",vanilla | sweet | tobacco | warm spicy | fruity,"top: tobacco leaf, spicy notes | middle: vanilla, cacao, tonka bean, tobacco blossom | base: dried fruits, woody notes | accords: vanilla | sweet | tobacco | warm spicy | fruity",18.39604608886528
https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-elixir-81642.html,Le Male Elixir,Jean Paul Gaultier,men,4.56,10388,2023,quentin bisch,"lavender, mint","vanilla, benzoin","honey, tonka bean, tobacco",vanilla | sweet | honey | amber | aromatic,"top: lavender, mint | middle: vanilla, benzoin | base: honey, tonka bean, tobacco | accords: vanilla | sweet | honey | amber | aromatic",18.315576282987198
https://www.fragrantica.com/perfume/yves-saint-laurent/y-eau-de-parfum-50757.html,Y Eau De Parfum,Yves Saint Laurent,men,4.38,15024,2018,dominique ropion,"apple, ginger, bergamot","sage, juniper berries, geranium","amberwood, tonka bean, cedar, vetiver, olibanum",aromatic | woody | fresh spicy | warm spicy | amber,"top: apple, ginger, bergamot | middle: sage, juniper berries, geranium | base: amberwood, tonka bean, cedar, vetiver, olibanum | accords: aromatic | woody | fresh spicy | warm spicy | amber",18.294447425355525
https://www.fragrantica.com/perfume/giorgio-armani/acqua-di-gio-profumo-29727.html,Acqua Di Gio Profumo,Giorgio Armani,men,4.41,14072,2015,alberto morillas,"sea notes, bergamot","rosemary, sage, geranium","incense, patchouli",aromatic | marine | fresh spicy | amber | woody,"top: sea notes, bergamot | middle: rosemary, sage, geranium | base: incense, patchouli | accords: aromatic | marine | fresh spicy | amber | woody",18.29438529261068
